lead1,lead2,lead3
-37,-56,-65
-18,-42,-59
-2,-21,-48
5,-14,-20
10,-11,-6
29,-37,1
35,-55,2
13,-71,3
2,-80,-7
-25,-80,-20
-45,-69,-25
-33,-49,-63
-8,-29,-82
25,-3,-40
26,-2,-8
16,-9,10
-33,-30,4
-53,-38,1
-80,-41,-3
-84,-41,-14
-62,-48,-25
-48,-48,-28
-27,-29,-38
8,-4,-35
26,9,-33
33,14,-30
16,11,-24
14,18,-2
13,21,8
-14,6,14
-77,-46,2
-102,-67,-3
-127,-102,-12
-108,-101,-23
-94,-95,-27
-83,-85,-41
-67,-83,-74
-57,-78,-85
-15,-35,-71
24,2,-39
28,7,-17
21,6,-3
-2,-14,-1
-13,-22,0
-44,-46,-12
-77,-83,-30
-87,-95,-46
-86,-94,-51
-66,-74,-48
-35,-38,-39
3,-5,-37
20,10,-34
42,16,-27
38,8,-24
38,15,-30
26,7,-19
-27,-27,-2
-64,-75,-8
-89,-109,-38
-84,-125,-53
-58,-116,-77
-21,-79,-101
-6,-56,-95
5,-27,-80
11,-13,-57
17,5,-44
11,10,-33
-31,0,-23
-66,-24,-12
-94,-46,-7
-94,-58,-27
-67,-55,-57
-22,-31,-62
38,16,-50
42,34,-42
38,37,-39
15,28,-22
-37,-6,-14
-70,-45,-17
-77,-62,-5
-59,-47,-7
-34,-18,-37
-29,39,-47
-15,96,-52
-5,114,-32
-28,137,4
-46,138,30
-72,97,56
-80,74,65
-108,33,97
-145,7,93
-154,-5,87
-173,-18,73
-190,-36,76
-207,-50,58
-204,-53,31
-194,-51,17
-182,-62,48
-167,-47,78
-167,-89,88
-153,-108,76
-121,-146,42
-96,-226,-23
-94,-289,-68
-91,-312,-107
-90,-308,-147
-85,-290,-158
-44,-251,-183
13,-195,-186
42,-137,-173
75,-102,-159
86,-81,-144
106,-79,-135
92,-73,-132
65,-74,-121
49,-71,-101
45,-58,-87
22,-43,-84
11,-34,-78
16,1,-77
37,43,-82
58,57,-80
88,101,-52
97,115,-42
83,121,-35
67,112,-29
54,82,-34
29,49,-33
-2,27,-43
-23,24,-54
-14,40,-59
17,45,-85
30,45,-92
58,47,-102
54,71,-67
44,70,-33
19,48,-20
-17,16,-15
-39,-16,-33
-40,-57,-45
-20,-58,-45
-6,-39,-55
9,-22,-73
32,8,-81
40,18,-87
41,22,-85
15,-3,-72
-9,-22,-41
-29,-27,-8
-36,-28,8
-50,-58,9
-52,-104,0
-50,-120,-4
-36,-108,-31
-15,-87,-49
-5,-68,-79
10,-55,-88
29,-42,-96
38,-17,-72
34,2,-47
25,2,-22
21,2,-9
3,-37,0
-33,-52,-5
-44,-54,-15
-47,-52,-19
-51,-75,-28
-59,-84,-35
-46,-73,-48
-38,-45,-75
-11,-8,-63
3,9,-54
24,2,-31
60,-3,-27
46,6,-1
37,11,11
-6,-11,1
-66,-61,-18
-105,-74,-29
-81,-93,-48
-43,-57,-82
-14,-38,-93
29,-26,-83
72,-25,-72
84,-35,-48
65,-32,-32
27,-41,-33
9,-43,-32
-35,-65,-27
-70,-88,-38
-92,-106,-66
-98,-109,-75
-90,-91,-85
-54,-50,-69
-11,0,-55
18,10,-60
31,2,-49
-7,-15,-13
-54,-52,-4
-86,-64,-9
-82,-70,-16
-90,-71,-26
-80,-53,-57
-25,-29,-63
21,-7,-40
21,-11,-31
20,-12,-25
-31,1,-33
-52,7,-34
-71,-30,-19
-88,-80,-17
-92,-99,-16
-98,-90,-23
-95,-77,-40
-89,-67,-45
-71,-64,-55
-39,-53,-64
-21,-19,-73
-12,-48,-73
-10,-7,-68
11,11,-62
17,10,-39
25,-40,-4
28,-60,12
2,-86,22
-60,-67,1
-85,-55,-8
-112,-38,-38
-112,-35,-45
-63,-29,-56
-18,-26,-62
-7,-7,-56
-2,2,-51
-12,10,-26
3,8,-4
23,-20,6
-12,-42,13
-55,-50,8
-83,-57,-12
-91,-47,-45
-74,-32,-63
-13,-7,-55
30,6,-51
45,3,-45
34,-11,-27
13,-14,-3
-9,-23,13
-32,-67,10
-63,-99,-11
-80,-101,-46
-68,-83,-75
-37,-51,-93
6,-13,-83
44,-5,-64
44,-12,-56
38,-30,-44
67,-37,-39
12,-79,-43
-25,-123,-57
-18,-136,-78
15,-120,-95
29,-56,-96
39,-22,-98
41,-6,-93
49,-3,-83
49,-13,-60
47,-44,-44
14,-81,-51
-47,-96,-42
-72,-112,-43
-51,-113,-67
-23,-89,-90
5,-63,-93
31,-23,-78
45,15,-58
37,24,-46
31,27,-39
24,23,-37
5,-14,-30
-24,-76,-20
-36,-100,-14
-47,-107,-27
-44,-98,-61
-27,-76,-77
-20,-34,-75
0,-13,-69
5,15,-59
9,24,-47
37,23,-26
63,24,-3
60,3,10
36,-34,7
24,-49,5
-3,-64,-44
-41,-68,-74
-56,-66,-86
-42,-62,-86
-4,-41,-81
21,-17,-69
39,-9,-52
42,-4,-26
21,5,-1
-11,-10,4
-25,-16,6
-42,-48,-12
-57,-72,-24
-67,-63,-33
-57,-50,-41
-49,-41,-42
-22,-29,-55
17,-3,-68
33,9,-70
56,17,-47
67,8,-45
75,-16,-51
60,-35,-37
14,-61,-34
-12,-90,-62
-26,-104,-77
-31,-104,-80
-34,-89,-92
-9,-58,-92
3,-41,-87
14,-20,-71
2,-3,-52
-3,5,-41
1,18,-12
11,18,15
15,17,27
-2,-29,22
-39,-52,5
-54,-59,-3
-67,-57,-17
-63,-62,-22
-58,-61,-23
-48,-58,-27
-23,-36,-39
-10,-24,-43
24,6,-51
32,27,-40
34,35,-36
33,42,-32
37,35,-4
17,1,14
8,-14,22
-32,-32,18
-54,-53,1
-61,-59,-6
-55,-78,-23
-49,-82,-29
32,-25,-34
38,-23,-37
19,-26,-37
5,-54,-44
-25,-83,-49
-56,-101,-60
-61,-109,-90
-56,-95,-118
-27,-70,-118
-13,-35,-114
25,-17,-106
35,0,-105
33,-1,-97
29,-11,-76
26,-14,-62
3,-41,-44
-15,-71,-27
-23,-81,-18
-46,-87,-25
-44,-64,-45
-58,-32,-61
-33,13,-46
19,40,-37
43,45,-23
48,27,-13
36,-13,-6
1,-66,-15
-17,-104,-21
-34,-113,-42
-43,-100,-57
-45,-89,-61
-29,-56,-69
15,-4,-89
72,26,-100
95,38,-99
100,30,-87
87,8,-63
77,-2,-48
69,-11,-29
10,-30,-9
-16,-37,1
-55,-69,0
-61,-91,-7
