lead1,lead2,lead3
-20,-49,-7
-36,-50,-37
-30,-50,-59
-7,-30,-65
19,-3,-57
19,-1,-34
2,-13,-4
-5,-23,12
-14,-23,22
-26,-33,25
-21,-37,10
-23,-38,-1
-33,-30,0
-21,-19,-19
2,6,-27
13,41,-28
3,52,-39
14,42,-23
27,31,-7
18,19,5
-4,-19,19
-19,-37,25
-24,-47,33
-26,-38,28
-27,-7,1
-14,19,-18
12,21,-17
26,7,-8
21,10,-7
2,-7,18
-16,-13,18
-31,-26,20
-39,-22,2
-14,-17,-23
-9,-9,-19
-1,10,-9
12,32,-32
33,49,-23
32,34,-14
25,21,5
-7,13,4
-33,6,-7
-36,-9,-3
-47,-17,-1
-55,-20,-13
-55,-10,-21
-417,42,-19
-144,63,-5
-13,63,13
32,63,31
46,59,34
49,34,16
43,1,-20
22,-25,-34
4,-38,-47
0,-23,-52
24,-9,-58
44,3,-49
52,31,-32
48,58,-24
50,53,-9
39,26,7
21,1,14
-7,-12,2
-20,-34,-3
-18,-45,-31
-22,-26,-50
-22,-8,-65
-12,3,-70
10,10,-57
32,15,-38
35,13,-22
25,13,9
10,0,7
-19,-20,11
-38,-30,17
-37,-39,3
-16,-39,-17
-9,-31,-25
-8,-4,-34
-8,9,-36
8,32,-28
23,56,-1
11,38,10
-8,32,20
0,36,27
-12,36,30
-42,16,24
-63,-12,0
-45,-29,-20
-34,-35,-27
-26,-34,-21
-29,-18,-19
-8,13,-25
20,30,-20
15,30,-1
12,0,5
-10,-19,29
-42,-33,33
-54,-27,14
-41,-14,-1
-32,-17,-4
-26,-17,-5
-9,0,-1
8,15,-6
34,24,-7
46,29,1
36,26,10
30,15,29
26,9,36
17,-53,30
-3,-27,26
-18,-20,30
-38,-34,31
-49,-36,5
-47,-36,-20
-31,-22,-19
-22,-14,-17
18,4,-41
50,19,-45
59,26,-15
42,35,2
34,35,-7
11,10,0
-20,-22,3
-40,-51,-4
-44,-38,-22
-26,-7,-18
-2,-9,-30
27,0,-23
46,4,-18
39,6,-5
39,1,-1
34,15,4
30,20,6
16,14,27
4,4,39
-10,-12,58
-17,-29,45
-7,-40,7
5,-41,-26
17,-13,-40
24,21,-28
26,39,-30
21,35,-23
8,25,-8
-7,5,17
-6,1,45
11,-1,47
7,-17,31
-12,-41,11
-27,-41,4
-22,-12,6
-4,17,-13
32,30,-33
37,18,-25
26,9,-15
-17,-16,-8
-27,-31,8
-30,-39,-8
-22,-38,-13
-43,-35,-27
-56,-36,-32
-28,-30,-28
2,-13,-22
0,13,-15
12,15,-18
16,8,-9
-13,-8,-10
-45,-28,-7
-59,-41,-7
-52,-37,-11
-49,-27,-12
-40,-11,-26
-25,8,-34
-3,18,-21
31,28,-1
41,22,3
44,18,5
24,5,-10
21,-5,-13
23,-13,-8
-21,-11,-2
-46,-18,-16
-55,-20,-21
-36,-25,-35
-15,-13,-30
2,6,-23
27,12,-15
37,14,-11
39,18,-16
48,22,-12
32,29,-3
6,27,17
-14,25,28
-21,-4,15
-38,-28,-11
-51,-30,-36
-58,-11,-40
-30,-4,-43
13,-2,-44
20,15,-38
16,38,-15
4,24,12
1,22,18
11,15,28
-9,21,34
-21,56,28
-25,75,21
-52,67,17
-61,60,25
-53,79,27
-50,105,27
-32,101,35
-23,105,59
-42,104,68
-74,67,77
-97,14,94
-121,-20,99
-156,-48,90
-182,-67,69
-204,-94,50
-205,-111,17
-138,-99,-1
-81,-94,-27
-29,-111,-45
13,-133,-59
18,-144,-74
-7,-163,-89
-18,-162,-85
-28,-155,-80
-17,-144,-74
6,-127,-76
28,-118,-82
43,-93,-89
52,-66,-88
60,-32,-53
86,3,-34
94,14,-16
189,36,-18
110,57,-16
59,74,-24
28,78,-28
17,57,-27
1,35,-23
-6,24,-42
1,40,-49
29,66,-50
44,81,-24
52,99,-3
58,97,3
58,92,17
61,62,23
54,30,32
15,-1,35
0,-16,33
-1,-20,11
-21,-15,-6
-27,-4,-10
-10,-4,-12
-1,-3,-12
5,1,-11
20,15,-17
37,40,-21
42,50,-3
57,52,21
47,30,31
27,15,27
1,8,20
-10,-14,20
-23,-38,1
-26,-44,-8
-25,-33,-18
-29,-14,-25
-5,17,-12
30,34,-25
46,34,-27
51,33,-12
33,34,14
6,19,23
-6,-5,28
-10,-15,30
-9,-27,17
-12,-30,2
-13,-26,-16
15,21,-37
32,37,-22
40,31,-2
30,20,20
15,18,34
11,-6,28
-5,-23,15
-31,-28,23
-47,-42,17
-65,-29,-5
-63,-13,-12
-36,-13,-23
-1,1,-31
20,14,-34
36,14,-13
29,25,6
10,20,15
1,17,35
-9,-4,42
1,-22,31
5,-32,15
-10,-44,-4
-22,-34,-5
-13,-30,-19
18,-27,-33
31,-24,-37
23,-2,-29
4,2,-17
-2,4,-10
-1,-11,-17
4,-12,-6
6,-14,15
-14,-19,21
-34,-35,3
-33,-50,-29
-33,-49,-36
-29,-41,-29
-19,-45,-29
-3,-31,-41
-1,-22,-36
0,-17,-18
-13,-1,-9
-19,11,-1
-25,13,6
-27,10,8
-35,-11,32
-42,-34,17
-43,-42,9
-43,-53,-11
-39,-18,-15
-32,0,-14
-27,7,-11
-8,10,-9
8,18,-10
14,21,-10
17,11,-3
18,6,11
3,-15,18
-17,-23,14
-40,-26,3
-53,-26,-6
-56,-25,-10
-38,-17,-27
-40,-17,-28
-28,-1,-26
-4,35,-16
8,45,-7
0,38,-6
-12,19,17
-26,-7,25
-41,-24,14
-49,-24,9
-51,-16,9
-35,-15,4
-26,0,-18
0,7,-27
25,26,-26
33,41,-10
41,40,-13
42,38,-16
39,32,-16
18,36,4
-6,7,12
-28,-25,8
-39,-32,11
-54,-23,-4
-36,-16,-26
-14,-10,-34
14,-4,-23
41,6,-19
51,10,-17
52,9,-20
44,1,-9
34,1,5
15,1,9
-16,-16,-5
-23,-18,-19
1,-9,-46
1,-6,-51
-5,-11,-63
0,13,-74
18,55,-59
33,62,-50
28,52,-33
26,66,-18
17,46,-15
-9,16,-17
-17,-5,-21
-25,-31,-26
-34,-43,-38
-31,-46,-53
1,-28,-50
46,-2,-44
43,12,-38
29,20,-17
26,9,22
28,-12,33
8,-33,13
-3,-43,-18
1,-47,-25
3,-34,-24
-8,-26,-23
10,-13,-24
29,0,-12
22,5,-13
11,-2,-9
2,-5,6
-6,-9,17
-3,-21,18
-18,-39,6
-31,-34,-12
8,-16,-12
25,-3,-21
32,19,-30
34,28,-35
37,45,-35
26,19,-19
13,-1,-2
-7,-18,-5
-28,-44,-4
-28,-70,8
-32,-85,5
-44,-55,2
-50,-29,-14
-49,-16,-27
-27,-16,-31
5,-20,-24
26,-2,-20
35,22,-12
27,19,1
23,15,2
13,7,3
-5,-14,3
-9,-46,6
4,-51,7
-22,-46,7
-23,-27,-3
-4,-8,-6
4,10,-18
-2,46,-23
3,55,0
-5,22,16
-11,19,11
-21,12,1
-24,-2,2
-34,-8,2
-45,-16,9
-43,-24,0
-43,-16,-11
-27,-27,-22
-3,-11,-28
22,12,-33
19,29,-31
9,29,-21
11,-7,-7
3,-36,8
-16,-46,-6
-47,-45,-17
-62,-59,-5
-67,-42,-13
-9,-25,-12
32,8,-10
33,15,1
22,-4,8
-6,-26,2
-48,-27,5
-64,-26,5
-66,-33,5
-37,-30,-5
-15,-23,-39
-9,-4,-32
-3,15,-24
20,31,-27
36,28,-25
42,25,-32
29,6,-33
15,-10,-33
17,-21,-11
1,-30,2
-6,-32,8
-23,-29,11
-48,-33,10
-56,-33,9
-46,-34,9
-19,-25,-7
8,-2,-25
36,19,-21
51,31,-3
52,27,-13
41,30,-26
27,27,-8
15,13,7
9,7,16
-3,-8,20
-23,-27,34
-40,-38,31
-47,-34,17
-31,-33,16
4,-12,0
28,10,-18
26,24,-21
24,29,-21
5,31,-12
-12,19,-5
-1,4,7
8,-10,7
-11,-33,-10
-41,-46,-21
-48,-48,-24
-55,-41,-36
-59,-28,-29
-2,-9,-20
29,12,-18
47,8,-21
45,0,-11
39,4,-9
22,-3,-9
13,-6,-8
-14,-6,-3
-25,-3,-3
-11,3,-11
-8,3,-29
-1,9,-22
12,10,-9
26,9,-13
25,20,-3
18,14,6
0,-12,6
-13,-18,5
-29,-25,-6
-19,-36,-24
0,-45,-20
20,-39,-10
26,-12,-5
30,21,5
34,47,15
36,45,20
28,22,26
-13,-9,30
-35,-14,21
-35,-31,15
-27,-40,-4
-16,-52,-26
0,-50,-24
-5,-26,-4
-11,-13,-14
-6,-14,-8
1,-15,-5
-1,-26,2
-21,-27,27
-38,-37,29
-34,-44,3
-41,-10,-10
-36,-6,-17
-17,4,-9
0,15,2
10,23,12
7,24,4
8,24,5
8,23,10
-3,0,12
-7,-30,12
-10,-55,8
-12,-59,-13
-5,-44,-26
-4,-19,-28
10,12,-29
36,-2,-18
42,3,-17
33,-3,-20
30,-7,-14
21,-13,-8
-1,-27,-3
-20,-32,-7
-34,-48,-8
-31,-45,-24
-33,-34,-31
-17,7,-39
3,31,-22
12,46,3
1,43,-15
3,16,20
-20,-19,23
-32,-32,4
-35,-23,-6
-22,-5,-10
5,24,-19
14,52,-31
23,89,-20
21,119,6
7,134,33
-3,131,43
-23,101,59
-35,87,83
-58,75,69
-65,67,48
-81,43,54
-107,27,48
-106,26,43
-104,33,50
-142,4,84
-163,-26,109
-185,-61,115
-210,-92,119
-206,-126,90
-167,-159,29
-116,-176,-42
-57,-183,-85
2,-182,-108
26,-158,-107
46,-143,-89
46,-133,-77
37,-114,-80
43,-107,-72
43,-108,-67
30,-97,-70
25,-77,-56
26,-57,-31
34,-37,-23
57,5,-25
72,50,-33
87,88,-34
102,94,-9
109,95,23
93,75,36
70,29,38
33,7,20
22,4,-8
20,33,-20
31,40,-17
53,44,-5
67,52,-2
65,42,3
48,29,10
25,31,31
1,13,32
-4,8,4
-3,8,-20
-24,14,-33
-32,16,-44
-8,38,-35
32,55,-23
31,13,-16
21,3,-3
27,-2,21
22,-13,15
6,-18,-9
-5,-25,-28
-12,-27,-35
-22,-35,-47
-7,-25,-58
9,4,-49
17,17,-29
28,45,-11
36,39,-6
26,22,-1
19,10,15
9,-3,17
-19,-31,9
-41,-39,13
-37,-22,22
-23,-16,8
-23,-24,-23
-6,-12,-29
-6,-2,-25
3,14,-29
9,17,-14
15,19,3
17,21,25
4,19,22
-11,8,-1
-24,-4,3
-40,6,-9
-40,2,-21
-37,1,-31
-11,17,-43
7,26,-42
21,27,-20
15,25,-11
-2,14,3
-24,7,14
-44,3,13
-48,1,7
-50,-13,-13
-26,-1,-21
-7,15,-23
6,19,-31
14,24,-21
7,32,3
2,11,13
-28,-33,-2
-34,-46,-10
-24,-27,-34
-20,-9,-43
-2,3,-28
14,19,-22
18,42,-17
7,61,8
-3,49,20
-22,23,18
-40,-22,23
-40,-51,22
-48,-49,19
-40,-37,13
-16,-7,12
-3,22,3
7,31,2
12,-4,7
-14,-19,27
-11,-28,40
-34,-21,23
-64,-19,8
-71,-20,2
-48,-28,-4
-26,-26,1
-12,-16,-5
1,12,-9
-3,39,2
7,54,25
21,37,29
10,1,25
-23,-21,20
-40,-30,19
-36,-27,10
-34,-26,-2
-25,-21,-17
-16,-18,-32
4,-7,-48
18,4,-49
29,8,-22
33,21,10
28,20,9
6,6,14
-20,-10,28
-29,-17,26
-7,-18,11
15,-26,13
12,-6,-9
32,19,-34
47,27,-36
55,10,-18
61,2,-7
24,-5,6
5,-38,15
3,-54,16
-8,-57,-18
-2,-29,-47
15,6,-55
36,27,-37
48,34,-31
48,1,-9
24,-10,7
10,-14,14
-13,-27,15
-25,-45,3
-38,-98,-31
-23,-65,-28
-12,-33,-30
5,-13,-43
29,-7,-45
44,-11,-30
39,-9,-19
40,-25,-10
39,-45,0
7,-60,3
-32,-46,1
-36,-31,-15
-26,-17,-27
-6,0,-30
5,16,-32
27,32,-41
38,40,8
31,25,32
28,9,24
16,-2,24
-4,-28,32
-18,-25,22
-27,-23,-5
-38,-20,-21
-29,-2,-27
6,13,-32
39,30,-34
43,47,-20
34,58,12
15,36,10
-11,20,10
-33,-2,9
-41,-23,-1
-43,-14,-6
-47,-9,-7
-39,-1,-7
-17,9,-14
-4,20,-24
2,25,-18
5,31,-14
17,35,-7
9,34,-1
10,33,15
10,31,22
21,20,30
-1,0,31
-28,-13,43
-38,-19,50
-47,-15,51
-48,-19,23
-46,-1,8
-27,19,-6
-5,26,-23
10,29,-14
25,39,-18
25,43,-5
20,48,2
-1,41,13
-30,23,14
-47,-13,3
-58,-39,-10
-68,-41,-9
-69,-40,-8
-71,-36,8
1,-46,-2
6,-46,-17
8,-38,-30
33,-18,-32
57,-2,-35
68,19,-27
61,51,-6
47,69,12
31,57,16
7,21,17
-29,13,16
-41,14,0
-76,11,-4
-30,18,-25
6,35,-33
41,49,-20
50,69,-10
45,68,-7
37,51,0
27,23,-2
9,-8,2
-6,-33,-4
-15,-29,-12
-16,-10,-18
-7,7,-17
12,29,-30
38,33,-14
58,34,-2
57,37,4
45,40,26
26,54,32
13,38,32
-6,3,15
-7,-20,7
-2,-35,-6
36,24,-8
49,63,4
40,63,13
33,64,27
17,44,37
7,25,27
5,14,27
-12,-12,32
-7,-9,8
6,4,-17
33,30,-17
63,48,-13
64,71,9
60,67,17
53,45,16
33,18,24
-4,-6,18
-34,-32,13
-62,-3,9
-43,2,1
-12,13,3
18,27,16
37,41,8
41,48,12
45,39,20
56,31,34
43,30,37
15,7,32
-9,-14,27
-21,-1,-4
-9,8,-3
18,17,-9
45,30,-4
54,47,18
49,50,36
32,18,42
0,11,36
-31,-8,33
-41,-13,4
-33,-5,-14
-35,-9,-8
-28,-14,-16
-3,-7,-36
27,9,-26
27,25,-3
28,15,7
35,2,14
24,-26,19
-13,-45,23
-15,-63,27
-6,-71,22
-4,-56,10
6,-28,3
39,3,0
58,14,-1
47,15,13
21,4,26
-7,-6,21
-4,-24,5
-5,-36,-6
-6,-33,-7
1,-21,-12
4,-14,-12
18,14,-11
25,47,-21
34,77,-20
57,65,0
55,31,5
39,26,14
31,22,18
22,26,25
1,13,27
8,3,23
-4,-22,7
-11,-45,4
-9,-37,1
-1,-7,-3
15,25,4
24,40,18
9,35,29
-11,21,30
-22,-8,23
-27,-19,16
-38,-18,4
-28,-17,2
-7,-5,4
-11,-1,8
-10,26,3
14,52,2
32,66,8
53,81,33
56,73,47
55,66,52
30,57,50
5,58,57
-28,70,79
-38,71,95
-32,73,76
-17,89,66
-26,108,69
-41,114,80
-58,102,96
-71,83,100
-93,59,98
-143,17,113
-179,-33,122
-194,-74,110
-208,-105,84
-203,-131,61
-160,-140,31
-62,-150,-31
-1,-178,-62
10,-173,-58
23,-170,-31
27,-160,-17
17,-160,-41
24,-156,-58
41,-145,-70
61,-118,-73
80,-81,-82
84,-61,-67
97,-30,-57
117,65,-39
136,106,-17
138,120,-6
142,109,13
127,92,14
97,58,17
70,32,32
59,21,30
59,16,19
43,24,26
37,30,16
61,38,-17
69,39,-16
75,56,-14
73,68,8
77,71,16
58,73,28
43,65,34
33,41,22
11,29,30
10,25,43
9,15,22
9,10,3
18,33,1
28,55,2
31,62,3
56,67,-7
47,67,5
43,61,25
42,57,24
22,52,41
6,8,24
-18,-20,12
-40,-29,2
-35,-15,-4
-13,4,-14
25,16,-24
41,39,-1
64,47,19
61,42,35
45,4,37
17,-30,27
-8,-38,33
-27,-34,29
-29,-5,31
-3,13,21
10,20,22
33,44,38
58,58,39
65,53,24
67,55,21
37,35,54
20,29,48
-14,20,32
-29,17,36
-23,26,29
3,59,11
20,68,3
18,66,14
25,61,30
12,35,47
-7,10,57
-16,-4,49
-14,-10,41
-18,-7,24
-20,-8,14
8,-10,1
18,4,4
7,30,-4
24,51,3
24,67,15
20,50,20
16,20,34
-6,9,25
-7,-15,7
-12,-31,1
-3,-22,5
-3,-10,6
-4,6,6
7,26,15
42,50,15
31,34,29
16,17,63
4,1,67
-10,-5,53
-31,-23,41
-46,-37,18
-41,-33,21
-16,-18,22
6,-1,29
25,11,25
33,14,30
26,15,47
19,9,46
22,-10,41
-15,-15,32
-30,-32,12
-29,-29,6
-16,-27,10
-3,-17,14
8,9,6
16,21,11
39,38,32
23,41,49
0,25,48
-7,8,57
-1,-9,48
-1,-27,26
-10,-25,11
-6,7,7
15,28,6
46,51,27
53,65,34
51,80,49
32,87,70
7,60,73
-14,51,68
-9,30,65
5,33,55
13,44,32
29,50,19
41,49,9
51,68,32
66,62,39
49,50,34
21,33,29
8,18,14
4,-8,4
-3,-23,-2
23,-14,-11
37,3,-9
45,34,-1
58,60,4
73,65,3
78,54,0
68,52,8
28,18,2
12,-3,9
-5,-14,33
-6,-25,50
11,-22,33
19,-9,5
35,11,-2
53,21,6
73,37,14
79,32,19
72,16,32
49,-9,28
22,-25,17
27,-21,21
19,-42,-7
22,-34,-35
44,-5,-34
52,21,-14
69,32,-4
81,48,-1
70,56,2
39,49,13
38,49,17
43,37,24
30,33,37
-13,17,48
-15,17,17
-5,8,-2
21,-6,-1
36,1,-8
38,43,20
31,54,38
23,45,43
12,28,33
-8,14,37
-8,-4,46
4,-10,50
18,27,36
30,49,24
47,61,28
62,68,20
64,77,23
68,67,23
67,50,17
51,21,24
22,5,29
-1,-2,30
-4,8,14
13,14,6
18,27,3
25,40,8
39,50,21
46,56,11
50,57,23
37,33,15
14,-7,26
3,-21,33
-20,-18,12
-26,-14,-3
-22,-14,-16
-20,17,-20
1,63,-14
17,74,-1
37,65,15
42,64,23
48,58,49
26,22,51
13,-2,28
-6,-3,7
3,-6,0
34,21,-1
45,41,-13
59,41,-19
89,68,2
78,74,9
54,74,16
43,65,34
37,32,32
14,-7,29
-1,-7,20
16,27,-7
34,46,-8
42,71,4
69,85,23
82,77,43
65,61,21
19,29,26
-14,7,34
-3,-4,25
15,-9,12
18,-8,-1
29,12,5
44,-36,16
35,26,39
27,62,40
32,78,26
36,59,37
22,29,43
12,-3,17
4,-5,-10
14,16,-14
35,24,-10
47,30,-5
55,44,7
65,64,20
62,62,27
66,63,43
38,50,37
3,20,39
-16,-18,37
-22,-49,18
-16,-51,17
1,-41,26
25,-16,13
33,17,5
51,38,-2
57,55,-8
52,53,2
32,35,31
2,20,41
-19,1,34
-6,-15,3
5,-9,-6
23,12,-17
32,30,-16
52,65,0
57,56,4
31,33,21
11,29,43
10,24,45
-14,-1,33
-39,-19,22
-28,-22,16
-14,-24,0
25,10,-6
41,45,-20
29,57,-16
23,55,8
12,43,34
-5,22,46
-13,-1,33
-11,-8,16
-17,8,4
-17,28,-13
10,48,-12
29,68,-6
48,87,-7
55,71,4
53,59,20
42,35,25
9,23,34
-23,2,46
-28,0,35
-27,12,21
-21,12,22
-6,4,27
19,11,38
36,37,39
42,48,33
48,45,32
43,35,36
28,14,41
13,-1,43
12,-12,34
7,-11,30
8,15,27
17,32,5
28,33,-13
33,36,-8
31,44,19
29,42,47
26,19,22
9,-2,15
-11,-23,11
-17,-36,-3
-17,-29,-5
-19,-17,-8
38,17,1
57,44,14
64,55,22
72,41,15
67,34,16
38,28,12
9,2,33
-4,-8,43
-15,2,29
-3,17,-17
34,49,-22
64,52,1
75,46,23
67,25,29
39,2,27
7,-16,34
-17,-16,32
-12,-8,16
-2,28,-12
7,59,-6
29,94,1
38,112,-3
47,120,13
43,129,37
