lead1,lead2,lead3
14,133,58
-25,135,85
-45,118,92
-60,82,81
-66,75,82
-70,82,77
-68,74,50
-72,61,41
-81,53,44
-111,29,63
-128,6,100
-154,-29,128
-161,-76,127
-135,-110,98
-112,-131,48
-75,-141,-13
-33,-138,-51
26,-118,-78
48,-91,-80
63,-73,-71
72,-53,-58
72,-47,-51
89,-59,-35
91,-65,-26
72,-79,-35
64,-65,-47
53,-38,-36
60,-15,-29
79,20,-35
107,50,-21
134,80,-13
127,100,0
103,91,6
80,73,4
72,69,5
63,46,-1
63,27,-4
60,21,-12
70,32,-23
88,40,-19
92,49,-16
82,64,15
80,63,29
68,58,23
41,36,28
11,13,14
21,-1,7
21,-1,19
22,22,30
34,43,15
61,69,15
68,82,23
65,94,40
65,82,52
59,53,56
54,24,37
39,14,20
33,15,10
33,11,8
41,12,-18
47,22,-3
52,23,11
42,36,15
37,41,9
34,32,11
6,4,7
-29,1,-5
-53,-12,-10
-38,-18,-13
-15,-11,-8
23,10,7
55,47,8
70,75,10
83,88,20
63,70,44
33,32,72
8,1,73
-12,-29,65
-21,-46,40
-27,-27,12
-39,-5,5
-32,0,14
7,26,-1
31,33,8
38,25,31
39,29,35
27,18,49
-6,8,48
-12,-4,26
-2,-11,12
13,-17,8
1,-6,8
33,25,32
45,44,28
49,46,12
31,26,31
20,-11,35
-14,-20,34
-16,-19,26
0,-7,20
-1,-3,14
9,-6,-4
28,36,-2
36,46,-2
50,33,1
5,16,8
-22,-6,21
-41,-31,22
-43,-16,3
-33,-5,-14
-10,2,-18
23,24,-12
45,45,-6
46,34,1
40,21,16
23,-6,3
-5,-25,-6
-29,-25,-7
-42,-33,-8
-27,-39,-9
-14,-16,-5
7,5,1
12,14,21
27,15,34
31,7,42
23,16,60
18,4,63
4,-10,46
-17,-25,39
-47,-21,32
-45,0,23
-31,15,23
0,27,24
32,41,18
42,44,37
62,58,36
67,65,30
38,52,46
16,26,41
20,7,11
16,2,4
8,-9,-13
32,-20,-21
52,7,2
54,22,14
49,21,31
34,18,31
18,-7,22
9,-19,8
0,-17,-11
0,-15,-30
3,-10,-46
6,-5,-48
15,6,-47
37,16,-25
42,15,-7
38,-8,4
35,-24,34
21,-24,38
25,-14,35
26,-31,25
20,-23,6
18,-18,-21
29,-19,-23
46,-10,-20
45,20,-25
38,57,7
41,37,24
21,24,17
-3,-3,15
-7,-38,16
-15,-58,4
-15,-49,-12
-10,-22,-22
-1,5,-16
25,28,-17
49,52,8
44,64,12
26,64,17
17,51,13
1,29,16
-20,8,28
-22,-16,21
-19,-31,29
-6,-3,-9
17,18,-28
35,38,-37
45,51,-28
36,59,-21
27,66,-16
30,52,8
20,19,20
4,-6,22
-33,-18,12
-31,-23,1
-7,-12,1
15,0,5
32,6,0
50,15,-17
51,25,-13
50,37,-11
38,34,7
17,5,17
0,-51,21
-2,-57,15
-7,-33,11
26,-20,-1
35,2,-12
30,9,2
28,3,11
37,6,18
40,-2,37
36,-6,46
1,-6,26
5,-5,12
11,-24,-2
9,-27,-17
12,-2,-29
34,46,-24
42,65,2
32,60,9
36,46,16
30,17,30
4,4,27
-11,12,-2
-6,3,-18
6,-2,-29
33,27,-19
37,57,15
37,77,34
37,72,31
38,45,24
19,15,22
10,-8,1
13,-21,3
10,-33,24
11,-28,12
2,-32,2
9,-18,-11
16,-4,-13
24,14,-2
27,12,27
7,26,46
-16,16,48
-16,-16,47
-10,-35,32
-9,-42,18
-18,-31,4
-4,-12,-18
18,3,-9
23,21,-4
28,12,2
43,10,6
24,-13,35
-4,-44,55
-19,-55,35
-5,-30,-1
-1,-7,-16
15,12,-13
39,42,-6
38,32,-8
33,24,-5
21,33,17
14,21,29
-8,-12,33
-17,-45,39
-13,-61,24
-18,-67,2
-6,-43,-11
19,0,-9
37,20,2
41,9,2
37,27,22
27,21,37
14,10,19
-2,3,4
-23,-11,-7
-37,-26,-11
-18,-63,-20
36,-11,-18
61,18,-9
73,37,-14
52,44,-19
38,38,-4
15,7,2
-14,-25,3
-32,-35,13
-35,-18,17
-22,-15,-1
-19,-4,-18
5,18,-28
30,42,-33
32,53,-25
17,63,-18
0,50,-9
-8,33,10
-15,-11,37
-36,-51,50
-52,-132,-3
-38,-57,-27
-22,-17,-30
3,14,-31
20,43,-20
30,53,5
38,55,17
44,51,6
12,11,15
-2,-18,21
-1,-32,11
-8,-40,-2
2,-15,-18
21,-5,-18
22,-3,-5
26,2,16
25,10,7
18,-11,12
0,-32,6
5,-44,-8
19,-46,-8
21,-52,-12
19,-28,-26
19,4,-21
33,31,-22
39,32,-14
33,12,-11
23,10,6
1,9,21
-39,-11,0
-34,-21,1
-25,-7,-9
-4,6,-8
19,27,8
33,40,8
39,34,24
32,25,33
14,13,40
3,6,48
-6,-5,39
-19,-30,27
-22,-47,14
-3,-3,-12
13,23,-32
38,57,-20
51,92,9
46,110,44
21,113,61
7,104,76
-41,80,85
-79,71,80
-102,64,87
-115,41,87
-137,21,71
-145,11,71
-135,8,83
-143,-28,90
-158,-58,93
-142,-85,82
-109,-107,52
-73,-135,15
-52,-141,-2
-42,-159,-52
-16,-173,-86
4,-183,-123
20,-171,-129
45,-129,-118
65,-98,-105
80,-105,-89
90,-113,-66
85,-99,-41
47,-69,-41
42,-58,-56
41,-22,-64
48,8,-71
54,20,-79
91,67,-65
109,111,-42
90,124,-51
75,118,-33
66,103,-12
52,63,-20
39,22,-29
31,3,-16
27,13,-19
34,12,-46
51,33,-52
56,68,-45
50,79,-42
46,63,-20
44,47,7
24,40,6
8,16,-84
1,-24,-30
-15,-36,-15
-27,-7,-10
-28,15,-13
-5,18,-6
27,40,-8
31,40,-9
35,35,-17
41,35,-20
19,19,-6
4,-6,20
-14,-16,30
-40,-21,14
-25,-12,-18
-12,-2,-29
14,14,-26
43,34,-26
44,37,-20
31,35,2
23,27,1
2,10,0
-24,-2,-6
-48,-11,-18
-48,-36,-33
-26,-42,-49
-25,-26,-41
-10,-18,-40
12,3,-21
19,8,15
-7,-11,32
-40,-37,43
-62,-58,51
-67,-75,24
-59,-65,12
-39,-32,7
-2,4,-4
35,18,-6
46,25,-4
49,13,2
21,2,29
-12,-11,47
-49,-23,38
-67,-27,19
-57,-35,10
-48,-21,0
-20,1,-26
13,22,-22
31,31,-16
44,41,-14
43,34,15
23,28,23
2,14,21
-2,-7,22
-7,-23,13
-29,-22,-23
-4,-2,-37
5,7,-35
15,12,-33
19,3,-22
28,2,-9
24,1,20
-1,-11,44
-27,-29,34
-47,-50,25
-56,-61,13
-52,-44,2
-38,-32,-11
-17,5,-12
7,17,-14
18,23,-15
21,24,4
21,23,22
-5,5,47
-40,-19,43
-57,-45,31
-43,-34,17
-17,-17,-7
-13,-22,-22
3,-9,-45
33,-3,-39
22,15,-7
-8,-1,16
-32,-19,16
-51,-35,-1
-44,-65,-17
-39,-38,-27
-41,-24,-42
-32,-10,-41
3,-8,-40
34,11,-37
25,21,-32
11,20,-16
3,5,-8
-11,-13,-6
-20,-26,6
-20,-38,-2
-3,-28,-28
9,-1,-41
31,24,-46
59,27,-43
75,23,-26
71,14,14
59,14,31
38,-11,22
24,-34,17
-4,-44,-4
-30,-33,-28
-27,-40,-40
0,-24,-67
16,-5,-85
40,24,-60
53,40,-52
52,27,-49
30,12,-19
7,-15,-10
-17,-35,-13
-18,-49,-28
0,-48,-33
9,-28,-36
-5,-10,-68
8,3,-79
30,13,-51
11,19,-5
14,20,21
15,26,21
4,-10,11
-4,-32,8
-9,-42,3
-7,-34,-2
4,-17,-17
29,6,-37
39,27,-18
51,42,4
41,24,5
13,0,4
4,-21,-21
-13,-19,-23
-34,-30,-25
-45,-23,-31
-30,-9,-40
-12,19,-28
-2,30,-15
16,33,1
13,46,1
10,46,7
8,33,4
-17,13,7
-59,-10,-2
-69,-36,-17
-52,-36,-32
-42,-28,-46
-7,-7,-36
18,8,-30
19,6,-11
25,0,10
5,-12,21
-9,-22,9
-36,-23,-3
-59,-24,-17
-62,-17,-29
-48,-17,-45
-23,-9,-46
2,3,-31
13,12,-30
96,22,-20
23,28,-9
-21,23,2
-42,-1,7
-60,-22,12
-41,-51,4
-30,-62,1
-38,-59,-7
-31,-37,-16
-11,-23,-15
-2,2,-23
12,25,-23
23,14,-12
27,-9,10
-7,-28,41
-28,-38,33
-36,-32,11
-30,-18,-7
-27,-26,-28
-18,-1,-25
-4,39,-19
24,43,-19
39,30,-17
35,29,-8
21,23,-4
-28,-12,-5
-40,-21,-13
-34,-30,-34
-31,-35,-56
